Store,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Lag_1,Lag_4,Lag_12
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.807999999999999,2010,4,17,1391256.12,1594968.28,1643690.9
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.807999999999999,2010,5,18,1425100.71,1545418.53,1641957.44
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.807999999999999,2010,5,19,1603955.12,1466058.28,1611968.17
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.807999999999999,2010,5,20,1494251.5,1391256.12,1409727.59
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.807999999999999,2010,5,21,1399662.07,1425100.71,1554806.68
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.807999999999999,2010,6,22,1432069.95,1603955.12,1439541.59
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.807999999999999,2010,6,23,1615524.71,1494251.5,1472515.79
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.807999999999999,2010,6,24,1542561.09,1399662.07,1404429.92
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.807999999999999,2010,6,25,1503284.06,1432069.95,1594968.28
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,1422711.6,1615524.71,1545418.53
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.786999999999999,2010,7,27,1492418.14,1542561.09,1466058.28
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787000000000001,2010,7,28,1546074.18,1503284.06,1391256.12
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,1448938.92,1422711.6,1425100.71
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,1385065.2,1492418.14,1603955.12
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787000000000001,2010,8,31,1371986.6,1546074.18,1494251.5
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.786999999999999,2010,8,32,1605491.78,1448938.92,1399662.07
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,1508237.76,1385065.2,1432069.95
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787000000000001,2010,8,34,1513080.49,1371986.6,1615524.71
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,1449142.92,1605491.78,1542561.09
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,1540163.53,1508237.76,1503284.06
